Book Name,Author,Rating,Number of Reviews,Price,Listening Time (Minutes),Rank,Genre,Processed_Description,cluster
Dream With Your Eyes Open: An Entrepreneurial Journey,Ronnie Screwvala,3.6,43.0,0.0,439.0,2,ess Management,"UTV founder pioneer medium industry Ronnie Screwvala one India ’ successful first-generation entrepreneur . An avid philanthropist , penned Dream Your Eyes Open : An Entrepreneurial Journey one inspiring entrepreneurial self-help book . Pictured relaxed content cover page book , Screwvala provides relentless pursuit entrepreneurial glory describes others learn .",1
Influence: The Psychology of Persuasion,Robert B. Cialdini,4.4,3780.5,12356.0,606.0,11,Earth Sciences Books,"Influence , classic book persuasion , explains psychology people say yes - apply understanding .",1
The Sandman,Neil Gaiman,5.0,1.0,1171.0,654.0,16,Fantasy (Books),"Please note : This content kid . It mature audience . Just like original graphic novel , audio adaptation contains explicit language graphic violence , well strong sexual content theme . Discretion advised .",1
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,4.6,28168.0,10378.0,240.0,10,"Crime, Thriller & Mystery (Books)","By completing purchase agree Audible ’ Conditions Use , Amazon 's Privacy Notice applicable Audible 's Recurring Payment Terms .",4
How to Win Friends and Influence People,Dale Carnegie,4.5,20936.0,668.0,485.0,18,Personal Development & Self-Help,"How Win Friends Influence People self-help book pioneer genre . Written Dale Carnegie published 1936 , sold 30 million copy . It edited re-printed several time .",1
"Thinking, Fast and Slow",Daniel Kahneman,4.4,9819.5,1093.0,1201.0,13,Personal Success,Brought Penguin .,2
Sherlock Holmes: The Definitive Collection,Arthur Conan Doyle,5.0,6.0,3037.0,4317.0,15,"Crime, Thriller & Mystery (Books)","Now updated include Chapter Name Information , easily find favourite story novel",0
Becoming,Michelle Obama,4.6,13894.5,1093.0,1143.0,12,Biographies & Autobiographies (Books),Penguin present audiobook edition Becoming Michelle Obama .,3
Just Do It: The Nike Spirit in the Corporate World,Donald Katz,4.0,37.5,0.0,840.0,3,Biographies of Actors,"The protagonist Just Do It Phil Knight , reclusive billionaire started two-man operation importing Japanese running shoe built $ 4 billion company . Irreverent , unpredictable , leery sport establishment , Knight created muscular jock culture business , place employee routinely took two hour lunch work strategized late night holy war competitor Reebok Adidas . To outsider , Nike cult . Insiders believed furthering company 's mission : improve performance serious athlete .",1
The Warren Buffett Way: 3rd Edition,Robert Hagstrom,4.2,72.0,1005.0,631.0,17,ance,"Warren Buffett remains one sought-after watched figure business today . He become billionaire investment sage buying chunk company holding onto , managing business , eventually reaping huge profit investor Berkshire Hathaway . The first two edition The Warren Buffett Way gave investor first in-depth look innovative investment business strategy behind spectacular success living legend Warren E. Buffett . Tracing Warren Buffett 's career beginning , Hagstrom told listener exactly , starting initial investment $ 100 Buffett built business empire estimated net worth $ 44 billion . The Third Edition The Warren Buffett Way focus timeless principle strategy behind Buffett 's extraordinary investment success . There new chapter important distinction investment trading examination successful disciple Warren Buffett . Some le important material deleted overall focus create edition stand test time , distilling Buffett 's success formula way provide value listener decade come .",1
21 Lessons for the 21st Century,Yuval Noah Harari,4.4,2823.0,1093.0,701.0,14,Political Theory,Brought Penguin .,2
"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You",Monika Halan,4.4,419.0,668.0,356.0,19,Personal Development & Self-Help,"We work hard earn money . But regardless much earn , money worry never go away . Bills , rent , EMIs , medical cost , vacation , kid ' education , somewhere back head , niggling thought under-prepared retirement .",1
Elon Musk,Ashlee Vance,4.5,6473.5,888.0,803.0,23,ess Leaders,Brought Penguin .,2
The Monk Who Sold His Ferrari,Robin Sharma,4.6,7579.0,351.0,160.0,22,Spirituality (Books),"Author Robin Sharma read international best-seller , allowing gain wisdom lesson original book commute . This abridged audiobook one Sharma Leadership International 's all-time best-selling audio product .",0
The Power of Your Subconscious Mind,Joseph Murphy,4.5,18355.5,99.0,433.0,30,"d, Body & Spirit","`` The Power Your Subconscious Mind '' open world success , happiness , prosperity , peace . It one brilliant beloved spiritual self-help work time help heal , banish fear , sleep better , enjoy better relationship feel happier . The technique simple result come quickly . You improve relationship , finance , physical well-being .",1
Raavan: Enemy of Aryavarta,Amish Tripathi,4.5,4480.0,836.0,692.0,39,Fantasy (Books),"Without darkness , light purpose .",1
"The Power of Habit: Why We Do What We Do, and How to Change",Charles Duhigg,4.5,6717.5,888.0,653.0,24,Personal Success,Brought Penguin .,2
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,11274.5,836.0,817.0,35,Biographies & Autobiographies (Books),"For David Goggins , childhood nightmare - poverty , prejudice , physical abuse colored day haunted night . But self-discipline , mental toughness , hard work , Goggins transformed depressed , overweight young man future US Armed Forces icon one world 's top endurance athlete . The man history complete elite training Navy SEAL , Army Ranger , Air Force Tactical Air Controller , went set record numerous endurance event , inspiring Outside magazine name The Fittest ( Real ) Man America .",1
Zero to One,Peter Thiel,4.4,5318.5,615.0,290.0,25,Organisational Behaviour,"What valuable company nobody building ? The next Bill Gates build operating system . The next Larry Page Sergey Brin wo n't make search engine . If copying guy , n't learning . It 's easier copy model make something new : already know take world 1 10 , adding something familiar .",1
My Gita,Devdutt Pattanaik,4.2,1242.5,501.0,375.0,26,Theology & Philosophy of Religion,"In My Gita , acclaimed mythologist Devdutt Pattanaik demystifies The Bhagavad Gita contemporary reader . His unique approach - thematic rather verse verse - make ancient treatise eminently accessible .",1
"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,4.7,11921.0,999.0,573.0,29,Fiction on Friendship for Children,"`` Turning envelope , hand trembling , Harry saw purple wax seal bearing coat arm ; lion , eagle , badger snake surrounding large letter ' H ' . ''",1
Chanakya Neeti,Acharya Chanakya,4.4,92.0,668.0,302.0,28,Biographies & Autobiographies (Books),"Chanakya Indian teacher , philosopher , royal advisor . He managed first Maurya emperor Chandragupta ’ rise power young age . He widely credited played important role establishment Maurya Empire , first empire archaeologically recorded history rule Indian subcontinent .",1
The Rudest Book Ever: Insanely Practical Ideas to Free Your Mind from All Bulls--t,Shwetabh Gangwar,4.5,2077.5,501.0,291.0,44,Personal Development & Self-Help,"Shwetabh Gangwar professional problem-solver - ’ ace . For past five year , people world contacted trouble , ’ worked .",1
The Tatas: How a Family Built a Business and a Nation,Girish Kuber,4.4,53.0,668.0,581.0,34,Biographies & Autobiographies (Books),Winner Gaja Capital Business Book Prize 2019,0
Hyperfocus,Chris Bailey,4.5,156.0,323.0,399.0,31,Time Management & Productivity,"Our attention never overwhelmed demand today ; 've never busy accomplishing little , 've grown uncomfortable boredom lack stimulation distraction .",1
"Limitless: Upgrade Your Brain, Learn Anything Faster, and Unlock Your Exceptional Life",Jim Kwik,4.7,2397.5,750.0,777.0,36,Personal Success,An instant New York Times best seller number one Wall Street Journal best seller,0
Meri Gita,Devdutt Pattanaik,4.2,129.0,668.0,459.0,40,Christianity (Books),"In Meri Gita , acclaimed mythologist Devdutt Pattanaik demystifies The Bhagavad Gita contemporary listener . His unique approach - thematic rather verse-by-verse - make ancient treatise eminently accessible.In world seems spellbound argument dialogue , vi-vaad sam-vaad , Devdutt highlight Krishna nudge Arjuna understand rather judge relationship . This becomes relevant today increasingly indulging isolating self ( self-improvement , self-actualization , self-realization - even selfies ! ) We forget live ecosystem others , nourish food , love meaning , even fight .",1
The Unusual Billionaires,Saurabh Mukherjea,4.4,287.5,1005.0,552.0,20,Essays (Books),What make company truly outstanding ?,1
The Tales of Beedle the Bard,J.K. Rowling,4.6,3699.5,652.0,95.0,55,Fairy Tale Collections & Anthologies for Children,"Written J.K. Rowling . Read Sally Mortemore , Warwick Davis , Evanna Lynch , Jason Isaacs , Bonnie Wright , Noma Dumezweni Jude Law .",1
No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,4.1,9.5,888.0,582.0,27,Analysis & Strategy,"Hard work irrelevant . Be radically honest . Adequate performance get generous severance . And never , ever try please bos . These ground rule work Netflix . They part unique cultural experiment explains company transformed lightning speed DVD mail-order service streaming superpower - 125 million fervent subscriber market capitalisation bigger Disney .",1
Think and Grow Rich,Napoleon Hill,4.5,22389.0,166.0,615.0,38,Economics Books,"By completing purchase agree Audible ’ Conditions Use , Amazon 's Privacy Notice applicable Audible 's Recurring Payment Terms .",4
Inglorious Empire: What the British Did to India,Shashi Tharoor,4.5,302.5,752.0,633.0,33,Colonialism & Post-Colonialism,"Penguin present audiobook edition Inglorious Empire , written read Shashi Tharoor .",3
Talking to Strangers: What We Should Know About the People We Don’t Know,Malcolm Gladwell,4.5,4285.0,1093.0,522.0,29,Personal Development & Self-Help,Brought Penguin .,2
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,4.7,5546.0,1599.0,1818.0,75,Fiction on Orphans & Foster Homes for Children,`` 'You sharing Dark Lord 's thought emotion . The Headmaster think inadvisable continue . He wish teach close mind Dark Lord . ' '',1
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,4.7,7065.5,1599.0,1287.0,78,Fiction on Orphans & Foster Homes for Children,"`` There , hanging sky school : blazing green skull serpent tongue , mark Death Eaters left behind whenever entered building ... wherever murdered .... ''",1
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,4.7,5451.0,1599.0,1337.0,46,Fiction on Orphans & Foster Homes for Children,"`` 'There three task , spaced throughout school year , test champion many different way ... magical prowess - daring - power deduction - , course , ability cope danger . ' ''",1
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,4.4,3363.5,1005.0,518.0,116,ess Management,"Most startup fail . But many failure preventable . The Lean Startup new approach adopted across globe , changing way company built new product launched .",1
Range: How Generalists Triumph in a Specialized World,David Epstein,4.6,1265.5,323.0,617.0,105,ess,"Range groundbreaking exhilarating exploration successful 21st century , David Epstein , acclaimed author The Sports Gene .",0
Man's Search for Meaning,Viktor E. Frankl,4.4,12932.5,468.0,284.0,96,Textbooks & Study Guides,"Internationally renowned psychiatrist , Viktor E. Frankl , endured year unspeakable horror Nazi death camp . During , partly , suffering , Dr. Frankl developed revolutionary approach psychotherapy known logotherapy . At core theory belief man 's primary motivational force search meaning .",1
Everything Is F*cked: A Book About Hope,Mark Manson,4.3,2370.5,10378.0,422.0,85,Personal Success,From author international mega-best-seller The Subtle Art Not Giving A F * ck come counterintuitive guide problem hope .,0
The Anarchy: The Relentless Rise of the East India Company,William Dalrymple,4.6,1371.0,1138.0,943.0,84,Colonialism & Post-Colonialism,"Bloomsbury present The Anarchy William Dalrymple , read Sid Sagar .",3
The Alchemist (Hindi Edition),Paulo Coelho,4.4,796.0,668.0,396.0,135,Personal Development,"अंदलुशिया में रहनेवाले एक आम चरवाहे सैंतियागो की ये कहानी स्पेन से होते हुए मिस्र के रेगिस्तान जा पहुँचती है। जादुई रस-विधा , यानी ऐल्केमी , की तलाश में निकला ये युवा लड़का रास्ते में कई ज्ञानी दार्शनिकों और आध्यात्मिक गुरुओं से मिलता है। ज़िन्दगी बदल देनेवाले इस सफ़र की मंज़िल पर चरवाहे लड़के की मुलाक़ात जिस ऐल्केमिस्ट से होती है , वो न सिर्फ़ लड़के की , बल्कि हम सब की ज़िन्दगी बदल देने की काबिलियत रखता है।",1
The Girl on the Train,Paula Hawkins,4.0,70099.5,888.0,657.0,98,"Crime, Thriller & Mystery (Books)","Rachel catch commuter train every morning . She know wait signal time , overlooking row back garden . She 's even started feel like know people live one house . Jess Jason , call . Their life - see - perfect . If Rachel could happy .",1
Wings of Fire,APJ Abdul Kalam,4.6,70.0,75.0,75.0,80,Biographies & Autobiographies (Books),“ We born divine fire u . Our effort give wing fire ” . President Kalam ’ inspiring autobiography touched heart people world . The book talk humble beginning small village Tamil Nadu ascent one powerful position country .,1
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Tim Ferriss,4.4,3677.5,1506.0,1361.0,102,Personal Success,"The latest groundbreaking tome Tim Ferriss , number-one New York Times best-selling author The 4-Hour Workweek .",0
Sapiens,Yuval Noah Harari,4.6,10246.0,1132.0,918.0,4,Anthropology (Books),Fire gave u power . Farming made u hungry . Money gave u purpose . Science made u deadly .,1
Sapiens,Yuval Noah Harari,4.6,329.0,1171.0,1302.0,72,Anthropology (Books),New York Times Best Seller,0
Everything is Figureoutable: How One Simple Belief Can Help Us Overcome Any Obstacle and Create Unstoppable Success,Marie Forleo,4.8,1866.5,888.0,474.0,82,Personal Success,Brought Penguin .,2
Sochiye Aur Ameer Baniye [Think and Be Rich],Napoleon Hill,4.5,2.0,836.0,670.0,74,Personal Development & Self-Help,"This Hindi translation famous best-selling classic Think Grow Rich . Napoleon Hill book defines process listener achieve economic success success aspect life . He asserts mind thought shape action lead success failure venture author reveals secret reader book give real shape dream aspiration right thought , right action right inspiration . Get copy audiobook embark enriching experience inspire motivate work hard achieve goal .",1
"Loaded: Money, Psychology, and How to Get Ahead Without Leaving Your Values Behind",Sarah Newcomb,4.45,62.5,586.0,414.0,56,Society,YOUR MOST VALUABLE ASSET ... IS YOU . LOADED WILL TEACH YOU HOW TO MAKE THE MOST OF IT .,1
1984,George Orwell,4.5,17039.0,797.0,739.0,130,Literary Fiction,"George Orwell 's nightmare vision dystopian world become apt modern , chaotic time . Casting pall oppressive dread first sentence , classic audiobook take hold imagination stay long last four word uttered .",1
Good Economics for Hard Times: Better Answers to Our Biggest Problems,Abhijit Banerjee,4.5,953.5,1093.0,884.0,77,Economic Conditions (Books),Brought Penguin .,2
Poirot's Finest Cases: Eight Full-Cast BBC Radio Dramatisations,Agatha Christie,4.8,27.0,1093.0,937.0,-1,",            5 star,          ,            ,              81%,            ,",John Moffatt star Belgian detective Hercule Poirot .,1
The Girl in Room 105,Chetan Bhagat,4.3,6640.5,568.0,503.0,79,Crime Thrillers,"Hi , I 'm Keshav , life screwed . I hate job girlfriend left .",1
Eat That Frog!,Brian Tracy,4.5,2087.5,351.0,157.0,57,ess Motivation & Self-Improvement,"There n't enough time everything to-do list - never . Successful people n't try everything . They learn focus important task make sure get done . They eat frog . There 's old saying first thing morning eat live frog , 'll satisfaction knowing 're done worst thing 'll day . For Tracy , eating frog metaphor tackling challenging task - also one greatest positive impact life . Eat That Frog ! show organize day zero critical task accomplish efficiently effectively .",1
Zen: The Art of Simple Living,Shunmyo Masuno,4.7,254.5,752.0,157.0,114,Stress Management,Penguin present audiobook edition Zen Shunmyo Masuno .,3
Anxious People,Fredrik Backman,4.55,20.0,888.0,592.0,100,Humour (Books),Brought Penguin .,2
Outliers: The Story of Success,Malcolm Gladwell,4.3,4449.0,500.0,438.0,112,ess Motivation & Self-Improvement,"In stunning new book , Malcolm Gladwell take u intellectual journey world `` outlier '' - best brightest , famous successful . He asks question : make high achiever different ? His answer pay much attention successful people like little attention : , culture , family , generation , idiosyncratic experience upbringing . Along way explains secret software billionaire , take great soccer player , Asians good math , made Beatles greatest rock band .",1
Market Wizards: Interviews with Top Traders,Jack D. Schwager,4.6,610.0,836.0,881.0,83,ance,"IMPORTANT UPDATE : This audio new recording DJ Holte , replaced original inferior recording also contains text added 2012 revised edition Market Wizards .",1
365 Panchatantra Stories,Adil Mukesh,4.2,424.0,668.0,449.0,88,Children's Traditional Stories (Books),The story Panchatantra ancient Indian fable written Sanskrit Pali language . The central character fascinating fable many time animal bird . They show identifying characteristic various story impart valuable life lesson moral .,0
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.6,7285.0,585.0,221.0,203,Astronomy (Books),What nature space time ? How fit within universe ? How universe fit within u ? There 's better guide mind-expanding question acclaimed astrophysicist best-selling author Neil deGrasse Tyson .,1
365 Tales of Indian Mythology,Om Books International,4.4,238.0,836.0,601.0,81,Children's Traditional Stories (Books),"One treat day ! A 23-volume series 365 treat : story , fact , question answer , science experiment young listener .",0
"Romancing the Balance Sheet: For Anyone Who Owns, Runs or Manages a Business",Anil Lamba,4.6,459.5,668.0,327.0,95,Education (Books),"There thing non-finance person . It error think finance management limited Finance Department alone . In fact , happening right organization - every action take impact bottom line company . Listen book understand profit really mean inventory sale impact . Learn read balance sheet deploy fund intelligently . Make efficient use working capital discover simple secret marginal costing , leverage fund flow . Written simple conversational style , romancing balance sheet teach intelligent way good financial management .",1
Yuval Noah Harari: Audible Sessions: FREE Exclusive Interview,Robin Morgan,4.7,18.0,0.0,19.0,9,Biographies of Authors,"Professor Yuval Noah Harari lecturer Department History Hebrew University Jerusalem . Gaining PhD Oxford University , published several book article . His recent work comprise international bestseller Sapiens : A Brief History Humankind , recently Homo Deus : A Brief History Tomorrow .",1
The Dhandho Investor: The Low-Risk Value Method to High Returns,Mohnish Pabrai,4.3,827.5,469.0,304.0,104,Personal Development & Self-Help,A comprehensive value-investing framework individual investor .,1
The Design of Everyday Things: Revised and Expanded Edition,Don Norman,4.3,1386.0,500.0,639.0,94,Interior Design,"Design n't complicated , guide human-centered design show usability important aesthetic .",1
The Story of My Experiments with Truth: An Autobiography,M. K. Gandhi,4.5,409.0,1093.0,1227.0,154,Asian History (Books),"To mark 150th anniversary Gandhi 's birth , DK present audiobook The Story My Experiments Truth : An Autobiography , narrated Sagar Arya .",0
Who Will Cry When You Die? (Hindi): Life Lessons from the Monk Who Sold His Ferrari,Robin Sharma,4.4,217.0,668.0,309.0,133,Personal Development & Self-Help,"`` When born , cried world rejoiced . Live life way die , world cry rejoice . '' ( Ancient Sanskrit saying )",1
Hooked: How to Build Habit-Forming Products,Nir Eyal,4.6,1757.0,501.0,280.0,99,Design & Fashion (Books),"Note Audible Listeners : As December 2019 , version Hooked audiobook revised rerecorded greatly improve audio quality . Please disregard review mentioning poor audio quality prior December 2019 .",1
Azadi: Freedom. Fascism. Fiction.,Arundhati Roy,3.0,50.0,888.0,374.0,73,Political Structure & Processes,Brought Penguin .,2
The Law of Success,Napoleon Hill,4.4,852.5,32.0,1436.0,220,ess & Economics,"The Law Success precursor Napoleon Hill 's Think Grow Rich . Hill well known researching made millionaire different common man . The sixteen lesson book perfectly crystallize everything need know succeed hard economic time . Many today 's best known self help book take core concept form book . The Secret , Power Positive Thinking , Millionaire next door , The Law Attraction take basic premise landmark work . Now get source .",0
48 Laws of Power,Robert Greene,4.4,2109.0,820.0,1386.0,140,Political Theory,"Amoral , cunning , ruthless , instructive , piercing work distills 3,000 year history power 48 well-explicated law . This bold volume outline law power unvarnished essence , synthesizing philosophy Machiavelli , Sun Tzu , Carl von Clausewitz , infamous strategist . The 48 Laws Power fascinate listener interested gaining , observing , defending ultimate control .",1
Alibaba: The House That Jack Ma Built,Duncan Clark,4.3,592.5,13345.0,549.0,131,Internet & Social Media (Books),An engrossing insider 's account teacher built one world 's valuable company - rivaling Walmart Amazon - forever reshaped global economy .,1
The Compound Effect: Multiply Your Success One Simple Step at a Time,Darren Hardy,4.7,3955.0,608.0,284.0,93,ess Management,"The Compound Effect contains essence every super achiever need know , practice , master obtain extraordinary success . Inside hear strategy :",1
Asura: Tale of the Vanquished: The Story of Ravana and His People,Anand Neelakantan,4.2,1039.0,1003.0,1097.0,157,duism (Books),The epic tale victory defeat,0
Do Kadam Aur Sahi [Two Steps and Right],Rahat Indori,4.6,98.5,501.0,214.0,122,Poetry (Books),"Do Kadam Aur Sahi excellent compilation selected poem renowned Urdu poet Rahat Indoori . The compiler , Sachin Chaudhary , named collection ‘ selected pearl ocean ’ . The magic flow pen Rahat Indauri give different feeling .",0
Good to Great: Why Some Companies Make the Leap...And Others Don't,Jim Collins,4.6,2418.0,15817.0,601.0,63,Textbooks & Study Guides,"Built Last , defining management study '90s , showed great company triumph time long-term sustained performance engineered DNA enterprise beginning .",1
Satya Ke Sath Mere Prayog [My Experiment with Truth]: Meri Atmakatha [My Autobiography],M. K. Gandhi,4.2,154.0,1171.0,1374.0,296,Biographies & Autobiographies (Books),"What I want achieve - I striving pining achieve 30 year - self-realization , see God face face , attain moksha .",1
Peppa Pig: Bedtime Stories,Ladybird,4.7,64.0,342.0,67.0,156,g Audiobooks for Children,Brought Ladybird .,2
A Clash of Kings: Book 2 of A Song of Ice and Fire,George R. R. Martin,4.6,6905.5,18149.0,2232.0,187,Epic Fantasy,"The complete , unabridged audiobook A Clash Kings .",0
The Mahabharata Secret,Christopher C. Doyle,4.0,985.5,836.0,617.0,184,Fantasy (Books),244 BC,1
"Girl, Woman, Other",Bernardine Evaristo,4.5,2055.0,888.0,667.0,139,Women's Fiction,Brought Penguin .,2
Measure What Matters: OKRs: The Simple Idea That Drives 10x Growth,John Doerr,4.5,1340.0,888.0,476.0,97,Time Management & Productivity,Brought Penguin .,2
Essentialism: The Disciplined Pursuit of Less,Greg McKeown,4.6,2985.0,888.0,374.0,119,Analysis & Strategy,Brought Penguin .,2
How to Stop Worrying and Start Living,Dale Carnegie,4.5,5025.0,668.0,582.0,126,Personal Development & Self-Help,Learn break worry habit - forever !,1
Maybe You Should Talk to Someone,Lori Gottlieb,4.7,3520.5,1328.0,862.0,89,Humour (Books),"Ever wonder therapist really thinking ? Now find ... hilarious , thought-provoking surprising new book take u behind scene therapist 's world .",1
Flow: Living at the Peak of Your Abilities,Mihaly Csikszentmihalyi Ph.D.,-1.0,267.25,1439.0,331.0,180,Personal Development & Self-Help,"In flow , everyday experience becomes moment moment opportunity joy self-fulfillment . Flow brain-child fascinating psychologist , Mihaly Csikszentmihalyi , renowned social scientist devoted life 's work study make people truly happy , satisfied fulfilled . While much study psychology investigates disorder human mind , Dr. Csikszentmihalyi take different route . He focus noble side human nature , capacity living life integrity , courage , perseverance . With landmark research flow , reveals considers beautiful life , way behaving make people happy , satisfied delighted alive . His insight `` flow experience '' show way lessen stress , fear anxiety increasing feeling challenge , joy excitement . The revolutionary finding Mihaly Csikszentmihalyi 's Experience Sampling Method offer unprecedented information specific way turn life continuous high quality experience . You 'll discover anyone enrich quality life simply learning flow occurs feel like . You 'll learn key element flow experience including :",1
Fire and Blood: 300 Years Before A Game of Thrones (A Targaryen History) (A Song of Ice and Fire),George R.R. Martin,4.4,3744.0,18149.0,1584.0,193,Military Fantasy,"Set 300 year A Game Thrones , even greater game began , one set sky alight dragon flame saw Seven Kingdoms turned ash .",1
What Every BODY Is Saying: An Ex-FBI Agent’s Guide to Speed-Reading People,Joe Navarro,4.5,3387.0,10378.0,439.0,165,ess Careers,He say 's best offer . Is ?,1
The Fountainhead,Ayn Rand,4.2,817.0,1054.0,1922.0,103,Contemporary Fiction (Books),"By completing purchase agree Audible ’ Conditions Use , Amazon 's Privacy Notice applicable Audible 's Recurring Payment Terms .",4
Indistractable: How to Control Your Attention and Choose Your Life,Nir Eyal,4.6,668.0,1003.0,315.0,169,ess & Economics,"`` Indistractable provides framework deliver focus need get result . '' ( James Clear , author Atomic Habits )",1
"Untamed: Stop Pleasing, Start Living",Glennon Doyle,4.7,5288.5,888.0,502.0,143,Biographies & Autobiographies (Books),Brought Penguin .,2
When Breath Becomes Air,Paul Kalanithi,4.6,11505.5,615.0,335.0,123,Cancer,"Tackling agonizing transition skilled surgeon bewildered patient , When Breath Becomes Air unflinching account mean betrayed body devoted life understanding .",1
Caste: The Lies That Divide Us,Isabel Wilkerson,4.8,957.5,888.0,866.0,167,ation Studies,Brought Penguin .,2
Kyon Se Shuruwat Karein [Start with Why]: Mahaan Leaders Logon Ko Aage Badhne Ke Liye Prerit Kaise Karte Hain [How Great Leaders Inspire People to Move Forward],Simon Sinek,-1.0,267.25,836.0,652.0,153,Personal Development & Self-Help,"Why people organization inventive , pioneering successful others ? And able repeat success ?",1
Lok Vyavhar,Dale Carnegie,4.5,1413.0,668.0,588.0,120,Personal Development & Self-Help,"Dale Carnegie teach make people like , win people way thinking change people without causing offense arousing resentment . He also emphasizes fundamental technique handling people without making feel manipulated . Carnegie illustrates point anecdote historical figure leader business world everyday folk .",1
The Selfish Gene,Richard Dawkins,4.6,1890.0,836.0,972.0,262,Biology Books,"Richard Dawkins ' brilliant reformulation theory natural selection rare distinction provoked much excitement interest outside scientific community within . His theory helped change whole nature study social biology , forced thousand rethink belief life .",1
The Art of War,Sun Tzu,4.2,9162.5,333.0,67.0,86,Analysis & Strategy,"The 13 chapter The Art War , devoted one aspect warfare , compiled high-ranking Chinese military general , strategist , philosopher Sun-Tzu . In spite battlefield specificity , The Art War found new life modern age , leader field wide far-reaching world politics , human psychology , corporate strategy finding valuable insight timeworn word .",0
Badi Soch Ka Bada Jadu [The Magic of Thinking Big],David Schwartz,4.5,805.5,836.0,691.0,275,Personal Development & Self-Help,"Badi Shoch Ka Bada Jadu Hindi translation David J. Schwartz 's best seller The Magic Thinking Big . The author ’ point view thinking big way success , , thinking positively oneself . The main stumbling block prevents many people succeeding life smallness inconsequential nature thought . Schwartz try prove necessary inherent talent intellectual attaining success , need person understand learn habit behaving thinking way reach top . His book begin story salesman able sell , make money co-salesmen . He highly qualified , influential , smarter friend . However , decides sell eventually achieves want .",0
The Great Indian Novel,Shashi Tharoor,4.3,197.0,879.0,1120.0,148,Literature & Fiction (Books),Reinventing harder ’ remember .,1
The Great Gatsby,F. Scott Fitzgerald,4.2,10655.0,501.0,289.0,150,Classic Literature,"Audie Award Finalist , Classic , 2014",1
Tiny Habits: The Small Changes That Change Everything,BJ Fogg,4.6,916.0,888.0,682.0,206,Personal Development & Self-Help,Brought Penguin .,2
Marketing 4.0: Moving from Traditional to Digital,Philip Kotler,4.4,379.5,469.0,288.0,225,Textbooks & Study Guides,Marketing changed forever - come next .,1
